date,open,high,low,close,volume
2024-01-01,99.8499,101.0505,99.0495,100.0500,1000
2024-01-02,99.9040,101.1052,99.1031,100.1042,1014
2024-01-03,99.9622,101.1642,99.1609,100.1625,1028
2024-01-04,100.0246,101.2273,99.2228,100.2250,1041
2024-01-05,100.0909,101.2944,99.2886,100.2915,1054
2024-01-06,100.1612,101.3656,99.3583,100.3620,1065
2024-01-07,100.2353,101.4406,99.4318,100.4362,1075
2024-01-08,100.3131,101.5192,99.5089,100.5141,1084
2024-01-09,100.3942,101.6014,99.5895,100.5954,1090
2024-01-10,100.4786,101.6868,99.6732,100.6800,1095
2024-01-11,100.5661,101.7753,99.7599,100.7676,1098
2024-01-12,100.6563,101.8665,99.8494,100.8580,1099
2024-01-13,100.7489,101.9603,99.9413,100.9508,1098
2024-01-14,100.8438,102.0564,100.0354,101.0459,1095
2024-01-15,100.9406,102.1543,100.1315,101.1429,1090
2024-01-16,101.0390,102.2539,100.2290,101.2414,1084
2024-01-17,101.1386,102.3547,100.3279,101.3413,1075
2024-01-18,101.2391,102.4564,100.4276,101.4420,1065
2024-01-19,101.3402,102.5588,100.5279,101.5433,1053
2024-01-20,101.4416,102.6613,100.6284,101.6449,1041
2024-01-21,101.5428,102.7637,100.7288,101.7463,1028
2024-01-22,101.6435,102.8657,100.8287,101.8472,1014
2024-01-23,101.7434,102.9668,100.9278,101.9473,1000
2024-01-24,101.8421,103.0667,101.0258,102.0462,986
2024-01-25,101.9394,103.1651,101.1222,102.1437,972
2024-01-26,102.0348,103.2616,101.2168,102.2392,959
2024-01-27,102.1280,103.3560,101.3093,102.3327,946
2024-01-28,102.2188,103.4479,101.3994,102.4236,935
2024-01-01,102.3069,103.5370,101.4868,102.5119,925
2024-01-02,102.3919,103.6231,101.5712,102.5971,916
2024-01-03,102.4738,103.7059,101.6523,102.6791,909
2024-01-04,102.5521,103.7852,101.7301,102.7577,905
2024-01-05,102.6269,103.8609,101.8042,102.8325,901
2024-01-06,102.6978,103.9326,101.8745,102.9036,901
2024-01-07,102.7647,104.0003,101.9409,102.9706,902
2024-01-08,102.8275,104.0639,102.0033,103.0336,905
2024-01-09,102.8862,104.1233,102.0615,103.0924,910
2024-01-10,102.9406,104.1784,102.1155,103.1469,916
2024-01-11,102.9908,104.2292,102.1652,103.1972,925
2024-01-12,103.0367,104.2757,102.2108,103.2432,935
2024-01-13,103.0784,104.3179,102.2522,103.2850,947
2024-01-14,103.1160,104.3559,102.2894,103.3226,959
2024-01-15,103.1495,104.3897,102.3226,103.3562,973
2024-01-16,103.1790,104.4196,102.3519,103.3858,987
2024-01-17,103.2047,104.4457,102.3774,103.4115,1000
2024-01-18,103.2268,104.4680,102.3994,103.4337,1014
2024-01-19,103.2455,104.4869,102.4179,103.4524,1028
2024-01-20,103.2610,104.5026,102.4333,103.4679,1041
2024-01-21,103.2736,104.5153,102.4457,103.4805,1054
2024-01-22,103.2835,104.5253,102.4555,103.4904,1065
2024-01-23,103.2910,104.5329,102.4630,103.4979,1075
